ซื้อ|买
ขาย|卖
จ่าย|付
ทอน|找零
ราคา|价格
แพง|贵
ถูก|便宜
ลดราคา|打折
โปรโมชั่น|促销
ของลดราคา|打折商品
ของแถม|赠品
เปลี่ยนสินค้า|换货
คืนเงิน|退款
ใบเสร็จ|收据
ถุง|袋子
ใส่ถุง|装袋
ขนาด|尺寸
ไซส์|尺码
เล็ก|小
กลาง|中
ใหญ่|大
สี|颜色
แดง|红色
น้ำเงิน|蓝色
เขียว|绿色
เหลือง|黄色
ดำ|黑色
ขาว|白色
ชมพู|粉色
ม่วง|紫色
ส้ม|橙色
น้ำตาล|棕色
เทา|灰色
เงิน|银色
ทอง|金色
เสื้อ|衣服
เสื้อยืด|T恤
เสื้อเชิ้ต|衬衫
เสื้อกันหนาว|外套
เสื้อกันฝน|雨衣
กางเกง|裤子
กางเกงยีนส์|牛仔裤
กางเกงขายาว|长裤
กางเกงขาสั้น|短裤
กระโปรง|裙子
ชุด|套装
ชุดเดรส|连衣裙
ชุดสูท|西装
ชุดนอน|睡衣
ชุดว่ายน้ำ|泳装
ชุดออกกำลังกาย|运动装
ชุดทำงาน|工作服
ชุดนักเรียน|校服
รองเท้า|鞋
รองเท้าผ้าใบ|运动鞋
รองเท้าส้นสูง|高跟鞋
รองเท้าแตะ|拖鞋
รองเท้าบูท|靴子
รองเท้าหนัง|皮鞋
ถุงเท้า|袜子
หมวก|帽子
แว่นตา|眼镜
แว่นตากันแดด|太阳镜
นาฬิกา|手表
สร้อยคอ|项链
แหวน|戒指
ต่างหู|耳环
เข็มขัด|皮带
กระเป๋า|包
กระเป๋าถือ|手提包
กระเป๋าเป้|背包
กระเป๋าสตางค์|钱包
กระเป๋าเงิน|钱包
เครื่องสำอาง|化妆品
ลิปสติก|口红
มาสคาร่า|睫毛膏
บลัชออน|腮红
ครีมกันแดด|防晒霜
โลชั่น|乳液
น้ำหอม|香水
แชมพู|洗发水
ครีมนวด|护发素
สบู่|肥皂
ยาสีฟัน|牙膏
แปรงสีฟัน|牙刷
ผ้าเช็ดตัว|毛巾
ผ้าห่ม|被子
ผ้าปูที่นอน|床单
หมอน|枕头
ผ้าม่าน|窗帘
พรม|地毯
โคมไฟ|灯
หลอดไฟ|灯泡
เตียง|床
ตู้เสื้อผ้า|衣柜
โต๊ะ|桌子
เก้าอี้|椅子
โซฟา|沙发
ตู้|柜子
ชั้นวางของ|货架
กระจก|镜子
นาฬิกาแขวน|挂钟
ปฏิทิน|日历
เทียนไข|蜡烛
น้ำมันหอม|精油
ส่วนลด|折扣
ลด|减少
เพิ่ม|增加
จ่ายเงิน|付款
เงินสด|现金
บัตรเครดิต|信用卡
โอนเงิน|转账
QR Code|二维码
ใบกำกับภาษี|发票
SIZE|尺寸
ไซส์|尺寸
เล็กมาก|超小
ใหญ่มาก|超大
สีแดง|红色
สีน้ำเงิน|蓝色
สีเขียว|绿色
สีดำ|黑色
สีขาว|白色
แบบ|款式
ใหม่|新
เก่า|旧
ล่าสุด|最新
รุ่น|型号
รุ่นใหม่|新款
ร้าน|店铺
ห้างสรรพสินค้า|百货商场
ซุปเปอร์มาร์เก็ต|超市
ตลาด|市场
ตลาดนัด|跳蚤市场
ตลาดกลางคืน|夜市
ออนไลน์|网上
แอป|App
สินค้า|商品
สินค้าลดราคา|打折商品
สินค้าหมด|售罄
มีของ|有货
หมด|没货
สั่งซื้อ|订购
สั่งออนไลน์|网上订购
สั่งล่วงหน้า|预订
จัดส่ง|配送
จัดส่งฟรี|免运费
ส่งด่วน|快递
ส่ง EMS|EMS快递
จัดส่งภายในวัน|当日达
ส่งคืน|退货
รับประกัน|保修
 гарантія|保修
สินค้ามีปัญหา|有问题的商品
ชำรุด|损坏
ไม่ตรงปก|货不对板
ของแท้|正品
ของปลอม|假货
ลอกเลียนแบบ|仿冒
Brand|品牌
ยี่ห้อ|品牌
เสื้อผ้า|衣服
แจ็คเก็ต|夹克
ชุดชั้นใน|内衣
รองเท้า|鞋子
แว่นกันแดด|太阳镜
กำไล|手镯
กระเป๋าสะพาย|挎包
เป้|背包
อายแชโดว์|眼影
foundation|粉底液
ครีมบำรุงผิว|护肤霜
เซรั่ม|精华
มอยเจอร์ไรเซอร์|保湿霜
คอนดิชันเนอร์|护发素
แป้ง|粉
อุปกรณ์ไฟฟ้า|电器
โทรศัพท์|手机
หูฟัง|耳机
ลำโพง|扬声器
สายชาร์จ|充电线
Case|保护套
ฟิล์ม|屏幕保护膜
Power Bank|充电宝
สาย HDMI|HDMI线
อุปกรณ์ครัว|厨房用品
หม้อ|锅
กระทะ|平底锅
มีด|刀
เขียง|砧板
จาน|盘子
ชาม|碗
ช้อน|勺子
ส้อม|叉子
ตะเกียบ|筷子
แก้ว|杯子
แก้วน้ำ|水杯
แก้วกาแฟ|咖啡杯
กระติกน้ำ|保温杯
ขวดน้ำ|水瓶
ลองดู|看看
ขอมาดู|看看
ใส่ได้ไหม|能试穿吗
ห้องลอง|试衣间
ห้องน้ำ|卫生间
จ่ายเงินที่ไหน|在哪里付款
คิดเงิน|结账
คูปอง|优惠券
ซื้อหนึ่งแถมหนึ่ง|买一送一
