สุขภาพ|健康
ป่วย|生病
หายป่วย|痊愈
ไข้|发烧
ไอ|咳嗽
จาม|打喷嚏
เจ็บคอ|喉咙疼
ปวดหัว|头痛
ปวดฟัน|牙疼
ปวดท้อง|肚子疼
ปวดหลัง|背疼
ปวดเข่า|膝盖疼
ปวดไหล่|肩膀疼
ปวดคอ|脖子疼
ท้องร่วง|腹泻
ท้องผูก|便秘
คลื่นไส้|恶心
อาเจียน|呕吐
วิงเวียน|头晕
ตาลาย|眼花
หูอื้อ|耳鸣
จมูกอุดตัน|鼻塞
น้ำมูกไหล|流鼻涕
ตาแดง|眼睛红
ตาบวม|眼睛肿
ผื่น|皮疹
คัน|痒
บวม|肿
ช้ำ|淤青
แผล|伤口
เลือดออก|出血
แสบ|灼热
ชา|麻木
อ่อนเพลีย|乏力
เหนื่อยง่าย|容易累
นอนไม่หลับ|失眠
นอนกรน|打呼
ฝันร้าย|做噩梦
เครียด|压力大
กังวล|担心
ซึมเศร้า|抑郁
หวาดกลัว|恐惧
แพ้|过敏
แพ้อากาศ|过敏性鼻炎
แพ้อาหาร|食物过敏
แพ้ยา|药物过敏
แพ้แมลง|虫咬过敏
หอบ|哮喘
เบาหวาน|糖尿病
ความดัน|高血压
ไขมัน|脂肪
คอเลสเตอรอล|胆固醇
โรคหัวใจ|心脏病
โรคหลอดเลือด|血管疾病
โรคไต|肾脏疾病
โรคมะเร็ง|癌症
โรคตับ|肝脏疾病
โรคปอด|肺部疾病
โรคกระเพาะ|胃病
โรคข้อ|关节疾病
โรคกระดูก|骨骼疾病
โรคผิวหนัง|皮肤病
โรคตา|眼病
โรคหู|耳病
โรคฟัน|牙病
โรคจมูก|鼻病
โรคคอ|喉病
โรคปัสสาวะ|泌尿系统疾病
โรคระบบทางเดินหายใจ|呼吸系统疾病
โรคระบบทางเดินอาหาร|消化系统疾病
โรคระบบประสาท|神经系统疾病
โรคระบบไหลเวียนเลือด|循环系统疾病
โรคระบบภูมิคุ้มกัน|免疫系统疾病
โรคระบบต่อมไร้ท่อ|内分泌系统疾病
โรคระบบกล้ามเนื้อ|肌肉系统疾病
โรคระบบกระดูก|骨骼系统疾病
โรคระบบผิวหนัง|皮肤系统疾病
โรคระบบสืบพันธุ์|生殖系统疾病
โรงพยาบาล|医院
คลินิก|诊所
ร้านขายยา|药店
ห้องฉุกเฉิน|急诊室
ห้องตรวจ|诊室
ห้องผ่าตัด|手术室
ห้องพักฟื้น|康复室
ห้องปฏิบัติการ|实验室
ห้องรังสี|放射科
ห้องทันตกรรม|牙科
ห้องจักษุ|眼科
ห้องโสต|耳鼻喉科
ห้องกุมารเวช|儿科
ห้องสูตินรีเวช|妇产科
ห้องศัลยกรรม|外科
ห้องอายุรกรรม|内科
ห้องกระดูก|骨科
ห้องผิวหนัง|皮肤科
