สนามบิน|机场
ด่านตรวจคนเข้าเมือง|入境检查
หนังสือเดินทาง|护照
วีซ่า|签证
สายการบิน|航空公司
เที่ยวบิน|航班
ตั๋วเครื่องบิน|机票
โหลดกระเป๋า|托运行李
กระเป๋าถือ|随身行李
น้ำหนักเกิน|超重
ขึ้นเครื่อง|登机
ลงจากเครื่อง|下机
รับกระเป๋า|取行李
สายพาน|传送带
แลกเปลี่ยนเงิน|换钱
ตู้ ATM|ATM机
แผนที่|地图
โรงแรม|酒店
ห้องพัก|客房
ล็อบบี้|大堂
บิล|账单
ตุ๊กตุ๊ก|突突车
รถเมล์|公交车
รถไฟ|火车
เรือด่วน|快艇
เรือข้ามฟาก|渡轮
จักรยานให้เช่า|租自行车
มอเตอร์ไซค์ให้เช่า|租摩托车
เช่ารถ|租车
ที่จอดรถ|停车场
น้ำมัน|汽油
ปั๊มน้ำมัน|加油站
ไกด์|导游
ทัวร์|旅行团
ตั๋วเข้าชม|门票
พิพิธภัณฑ์|博物馆
วัด|寺庙
พระราชวัง|皇宫
สวนสาธารณะ|公园
ชายหาด|海滩
เกาะ|岛
น้ำตก|瀑布
ภูเขา|山
ถ้ำ|洞穴
อุทยานแห่งชาติ|国家公园
ทะเล|海
แม่น้ำ|河
ทะเลสาบ|湖
ป่า|森林
ทุ่ง|田野
ไร่|农场
รีสอร์ท|度假村
โฮมสเตย์|民宿
แค้มปิ้ง|露营
ผจญภัย|冒险
ดำน้ำ|潜水
ดำน้ำตื้น|浮潜
ล่องแก่ง|漂流
ปีนผา|攀岩
เดินป่า|徒步
ขี่ช้าง|骑大象
ให้อาหารช้าง|喂大象
ขี่ม้า|骑马
ตกปลา|钓鱼
ยิงธนู|射箭
ขี่จักรยาน|骑自行车
วิ่ง|跑步
ว่ายน้ำ|游泳
เล่นเซิร์ฟ|冲浪
เล่นเจ็ตสกี|玩水上摩托
พาราเซล|拖伞
ล่องเรือ|坐船
ตกหมึก|钓鱿鱼
ดูปลาโลมา|看海豚
ดูปะการัง|看珊瑚
เที่ยวกลางคืน|夜生活
ตลาดกลางคืน|夜市
ถนนคนเดิน|步行街
ผับ|酒吧
คาเฟ่|咖啡馆
ร้านนั่งเล่น|休闲店
นวด|按摩
สปา|水疗
ทำเล็บ|美甲
ตัดผม|理发
ซื้อของ|购物
ของที่ระลึก|纪念品
ของฝาก|伴手礼物
หัตถกรรม|手工艺品
ผ้าไหม|丝绸
เครื่องเงิน|银器
เครื่องปั้นดินเผา|陶器
รูปปั้น|雕像
ภาพเขียน|画
หนังสือ|书
เสื้อผ้า|衣服
กระเป๋า|包
รองเท้า|鞋
แว่นตา|眼镜
หมวก|帽子
เครื่องประดับ|首饰
น้ำหอม|香水
เครื่องสำอาง|化妆品
อาหาร|食物
ขนม|零食
ผลไม้|水果
น้ำ|水
น้ำผลไม้|果汁
กาแฟ|咖啡
ชา|茶
เบียร์|啤酒
ไวน์|葡萄酒
ค็อกเทล|鸡尾酒
ด่านตรวจคนเข้าเมือง|海关
ตรวจหนังสือเดินทาง|护照检查
กระเป๋าเดินทาง|行李箱
กระเป๋าเป้|背包
กระเป๋าถือ|手提包
登机牌|登机牌
ประตูขึ้นเครื่อง|登机口
เครื่องบิน|飞机
ห้องโดยสาร|客舱
ที่นั่ง|座位
หน้าต่าง|窗户
ทางเดิน|过道
เวลามาถึง|到达时间
เวลาออกเดินทาง|出发时间
ล่าช้า|延误
เปลี่ยนเที่ยวบิน|转机
เที่ยวบินตรง|直飞
โมเตล|汽车旅馆
โฮสเทล|青旅
บ้านพัก|民宿
ห้องเตียงคู่|双人房
ห้องเตียงเดี่ยว|单人房
ห้องครอบครัว|家庭房
ห้องสวีท|套房
อินเทอร์เน็ต|互联网
Wi-Fi|无线网络
ห้องอาหาร|餐厅
สระว่ายน้ำ|游泳池
สปา|SPA馆
ฟิตเนส|健身中心
แผนกต้อนรับ|前台
เช็คอิน|入住
เช็คเอาท์|ออก
อาหารเช้า|早餐
มินิบาร์|迷你吧
รถไฟฟ้า|轻轨
รถไฟใต้ดิน|地铁
รถบัส|公共汽车
รถตู้|小巴
รถแท็กซี่|出租车
มอเตอร์ไซค์|摩托车
เรือ|船
เรือเร็ว|快艇
ขับรถ|开车
จอดรถ|停车
ทางด่วน|高速公路
GPS|导航
ทัวร์ส่วนตัว|私人团
ทัวร์ครึ่งวัน|半日游
ทัวร์เต็มวัน|全天游
ล่องเรือ|乘船游览
ปีนเขา|爬山
แล่นเรือ|帆船
โต้คลื่น|冲浪
พายเรือ|划船
ถ่ายรูป|拍照
วิดีโอ|录像
ร้านของที่ระลึก|纪念品店
ตลาด|市场
ห้างสรรพสินค้า|百货商店
อาหารท้องถิ่น|当地菜
อาหาร街头|街头食品
ร้านอาหาร|餐厅
สกุลเงิน|货币
แลกเงิน|换钱
เอทีเอ็ม|ATM
บัตรเครดิต|信用卡
เงินสด|现金
ประกันการเดินทาง|旅行保险
อุบัติเหตุ|事故
เจ็บป่วย|生病
โรงพยาบาล|医院
สถานทูต|大使馆
สถานกงสุล|领事馆
หมายเลขฉุกเฉิน|紧急电话
191|报警电话
1669|急救电话
1155|旅游警察
ฝ่ายกงสุล|领事部
ขอความช่วยเหลือ|请求帮助
ติดต่อ|联系
ติดต่อสถานทูต|联系大使馆
ทำหนังสือเดินทางหาย|护照丢失
ทำกระเป๋าหาย|行李丢失
กระเป๋าแตก|行李破损
เที่ยวบินยกเลิก|航班取消
ล่าช้าหลายชั่วโมง|延误数小时
ห้องพัก|住宿
ที่พัก|住处
เต็นท์|帐篷
แคมป์|营地
บ้านพักตากอากาศ|度假屋
บนภูเขา|山上
ริมทะเล|海边
ในป่า|森林里
กลางทะเลทราย|沙漠中
รอบเกาะ|环岛
รอบเมือง|环城
沿着河|沿着河
ผ่านเขา|翻山
ลอดอุโมงค์|穿隧道
สนามบิน2|机场2
เที่ยวบิน2|航班2
ตั๋วเครื่องบิน2|机票2
หนังสือเดินทาง2|护照2
วีซ่า2|签证2
ด่านตรวจคนเข้าเมือง2|海关2
ตรวจหนังสือเดินทาง2|护照检查2
กระเป๋าเดินทาง2|行李箱2
กระเป๋าเป้2|背包2
กระเป๋าถือ2|手提包2
น้ำหนักเกิน2|超重2
登机牌2|登机牌2
ประตูขึ้นเครื่อง2|登机口2
เครื่องบิน2|飞机2
ห้องโดยสาร2|客舱2
ที่นั่ง2|座位2
หน้าต่าง2|窗户2
ทางเดิน2|过道2
เวลามาถึง2|到达时间2
เวลาออกเดินทาง2|出发时间2
ล่าช้า2|延误2
เปลี่ยนเที่ยวบิน2|转机2
เที่ยวบินตรง2|直飞2
โรงแรม2|酒店2
โมเตล2|汽车旅馆2
โฮสเทล2|青旅2
รีสอร์ท2|度假村2
บ้านพัก2|民宿2
ห้องเตียงคู่2|双人房2
ห้องเตียงเดี่ยว2|单人房2
ห้องครอบครัว2|家庭房2
ห้องสวีท2|套房2
อินเทอร์เน็ต2|互联网2
Wi-Fi2|无线网络2
ห้องอาหาร2|餐厅2
สระว่ายน้ำ2|游泳池2
สปา2|SPA馆2
ฟิตเนส2|健身中心2
ที่จอดรถ2|停车场2
แผนกต้อนรับ2|前台2
เช็คอิน2|入住2
เช็คเอาท์2|ออก2
อาหารเช้า2|早餐2
มินิบาร์2|迷你吧2
รถไฟ2|火车2
รถไฟฟ้า2|轻轨2
รถไฟใต้ดิน2|地铁2
รถบัส2|公共汽车2
รถตู้2|小巴2
รถแท็กซี่2|出租车2
มอเตอร์ไซค์2|摩托车2
เรือ2|船2
เรือข้ามฟาก2|渡轮2
เรือเร็ว2|快艇2
เช่ารถ2|租车2
ขับรถ2|开车2
จอดรถ2|停车2
ปั๊มน้ำมัน2|加油站2
ทางด่วน2|高速公路2
แผนที่2|地图2
GPS2|导航2
ไกด์2|导游2
ทัวร์2|旅行团2
ทัวร์ส่วนตัว2|私人团2
ทัวร์ครึ่งวัน2|半日游2
ทัวร์เต็มวัน2|全天游2
ล่องเรือ2|乘船游览2
เดินป่า2|徒步2
ปีนเขา2|爬山2
ดำน้ำ2|潜水2
ดำน้ำตื้น2|浮潜2
แล่นเรือ2|帆船2
โต้คลื่น2|冲浪2
ว่ายน้ำ2|游泳2
พายเรือ2|划船2
ตกปลา2|钓鱼2
ถ่ายรูป2|拍照2
วิดีโอ2|录像2
ของที่ระลึก2|纪念品2
ร้านของที่ระลึก2|纪念品店2
ตลาด2|市场2
ห้างสรรพสินค้า2|百货商店2
อาหาร2|食物2
อาหารท้องถิ่น2|当地菜2
อาหาร街头2|街头食品2
ร้านอาหาร2|餐厅2
สกุลเงิน2|货币2
แลกเงิน2|换钱2
